"Major","Degree","Campus","College/School"
"Health and Rehabilitation Sciences, Undecided","","Columbus","Health and Rehabilitation Sciences"
"Health and Wellness","BS","Columbus","Nursing"
"Health Information Management and Systems","BS","Columbus","Health and Rehabilitation Sciences"
"Health Promotion, Nutrition and Exercise Science","BS","Columbus","Education and Human Ecology"
"Health Sciences","BS","Columbus, Lima","Health and Rehabilitation Sciences"
"Hebrew and Jewish Studies","BA","Columbus","Arts and Sciences"
"History","BA","Columbus, Lima, Marion, Mansfield, Newark","Arts and Sciences"
"History of Art","BA","Columbus","Arts and Sciences"
"Horse Production and Management","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Horticultural Science","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Hospitality Management","BS","Columbus","Education and Human Ecology"
"Human Development and Family Science","BS","Columbus","Education and Human Ecology"
"Human Nutrition","BS","Columbus","Education and Human Ecology"
"Human Resources","BS","Columbus","Business"
"Hydraulic Power and Motion Control","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Hydraulic Service and Repair","","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Industrial and Systems Engineering","BS","Columbus","Engineering"
"Industrial Design","BSD","Columbus","Arts and Sciences"
"Information Systems","BS","Columbus","Business"
"Insurance","BS","Columbus","Business"
"Integrated Major in Mathematics and English","BS","Columbus","Arts and Sciences"
"Interior Design","BSD","Columbus","Arts and Sciences"
"International Business","BS","Columbus","Business"
"International Studies","BS, BA","Columbus","Arts and Sciences"
"Islamic Studies","BA","Columbus","Arts and Sciences"
"Italian","BA","Columbus","Arts and Sciences"
"Italian Studies","BA","Columbus","Arts and Sciences"
"Japanese","BA","Columbus","Arts and Sciences"
"Journalism","BA","Columbus","Arts and Sciences"
"Korean","BA","Columbus","Arts and Sciences"
"Landscape Architecture","BS","Columbus","Architecture"
"Landscape Horticulture","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Linguistics","BA","Columbus","Arts and Sciences"
"Livestock Production and Management","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Logistics Management","BS","Columbus","Business"
"Marketing","BS","Columbus","Business"
"Materials Science and Engineering","BS","Columbus","Engineering"
"Mathematics","BS","Columbus","Arts and Sciences"
"Mechanical Engineering","BS","Columbus","Engineering"
"Medical Anthropology","BS, BA","Columbus","Arts and Sciences"
"Medical Laboratory Science","BS","Columbus","Health and Rehabilitation Sciences"
"Medieval and Renaissance Studies","BA","Columbus","Arts and Sciences"
"Microbiology","BS","Columbus","Arts and Sciences"
"Modern Greek","BA","Columbus","Arts and Sciences"
"Molecular Genetics","BS","Columbus","Arts and Sciences"
"Moving-Image Production","BA","Columbus","Arts and Sciences"
"Music","BS","Columbus","Arts and Sciences"
"Music","BA","Columbus","Arts and Sciences"
"Music – Composition","BM","Columbus","Arts and Sciences"
"Music – Education","BME","Columbus","Arts and Sciences"
"Music – Jazz Studies","BM","Columbus","Arts and Sciences"
"Music – Musicology","BM","Columbus","Arts and Sciences"
"Music – Performance (orchestral instruments)","BM","Columbus","Arts and Sciences"
"Music – Performance (piano)","BM","Columbus","Arts and Sciences"
"Music – Performance (voice)","BM","Columbus","Arts and Sciences"
"Music – Theory","BM","Columbus","Arts and Sciences"
"Natural Resource Management","BS","Columbus","Environment and Natural Resources"
"Neuroscience","BS","Columbus","Arts and Sciences"
"Nursing","BS","Columbus","Nursing"
"Nursing (RN to BSN)","BS","Columbus, Marion, Newark","Nursing"
"Occupational Therapy","","Columbus","Health and Rehabilitation Sciences"
"Operations Management","BS","Columbus","Business"
"Pharmaceutical Sciences","BS","Columbus","Pharmacy"
"Philosophy","BA","Columbus","Arts and Sciences"
"Philosophy, Politics and Economics","BA","Columbus","Arts and Sciences"
"Physical Therapy","","Columbus","Health and Rehabilitation Sciences"
"Physics","BS","Columbus","Arts and Sciences"
"Plant Pathology","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Political Science","BS, BA","Columbus","Arts and Sciences"
"Portuguese","BA","Columbus","Arts and Sciences"
"Power Equipment","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Pre-Dentistry","","Columbus","Pre-Professional"
"Pre-Law","","Columbus","Pre-Professional"
"Pre-Medicine","","Columbus","Pre-Professional"
"Pre-Optometry","","Columbus","Pre-Professional"
"Pre-Pharmacy","","Columbus","Pre-Professional"
"Pre-Veterinary Medicine","","Columbus","Pre-Professional"
"Professional Golf Management","","Columbus","Food, Agricultural and Environmental Sciences"
"Professional Golf Management 1 + 3","","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Psychology","BS, BA","Columbus, Lima, Marion, Mansfield, Newark","Arts and Sciences"
"Public Health","BS","Columbus","Public Health"
"Public Management, Leadership and Policy","BA","Columbus","Public Affairs"
"Public Policy Analysis","BS","Columbus","Public Affairs"
"Radiologic Sciences and Therapy","BS","Columbus","Health and Rehabilitation Sciences"
"Real Estate and Urban Analysis","BS","Columbus","Business"
"Religious Studies","BA","Columbus","Arts and Sciences"
"Respiratory Therapy","BS","Columbus","Health and Rehabilitation Sciences"
"Romance Studies","BA","Columbus","Arts and Sciences"
"Russian","BA","Columbus","Arts and Sciences"
"Social Sciences Air Transportation","BA","Columbus","Arts and Sciences"
"Social Work","BS","Columbus, Lima, Marion, Mansfield, Newark","Social Work"
"Sociology","BS, BA","Columbus, Mansfield","Arts and Sciences"
"Spanish","BA","Columbus","Arts and Sciences"
"Speech and Hearing Science","BA","Columbus","Arts and Sciences"
"Sport Industry","BS","Columbus","Education and Human Ecology"
"Statistics","BS","Columbus","Arts and Sciences"
"Sustainable Agriculture","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Sustainable Agriculture","AS","ATI Wooster","Food, Agricultural and Environmental Sciences"
"Sustainable Plant Systems","BS","Columbus","Food, Agricultural and Environmental Sciences"
"Theatre","BA","Columbus, Lima","Arts and Sciences"
"Turfgrass Management","AA","ATI Wooster","Food, Agricultural and Environmental Sciences"
"University Exploration – Arts, Innovation and Creativity Exploration","","Columbus","University Exploration"
"University Exploration – Behavior, Culture and Context Exploration","","Columbus","University Exploration"
"University Exploration – Education and Public Service Exploration","","Columbus","University Exploration"
"University Exploration – Health and Human Services Exploration","","Columbus","University Exploration"
"University Exploration – Management and Industry Exploration","","Columbus","University Exploration"
"University Exploration – Science, Technology and Environment Exploration","","Columbus","University Exploration"
"University Exploration – Undecided/Exploring","","Columbus","University Exploration"
"Vision Science","BS","Columbus","Arts and Sciences"
"Visual Communication Design","BSD","Columbus","Arts and Sciences"
"Welding Engineering","BS","Columbus","Engineering"
"Women's, Gender and Sexuality Studies","BA","Columbus","Arts and Sciences"
"World Literatures","BA","Columbus","Arts and Sciences"
"World Politics","BA","Columbus","Arts and Sciences"
"Zoology","BS, BA","Columbus","Arts and Sciences"
